district,very_dense_forest,mod_dense_forest,open_forest,total_forest_cover,scrub
44,7.85,0.0,0.02,0.0,0.0
45,7.98,0.0,0.0,0.03,0.0
46,9.95,0.0,0.0,0.71,0.27
47,8.97,0.0,0.27,0.87,0.0
48,15.85,0.0,0.0,0.06,0.0
49,138.18,0.0,6.37,9.7,1.16
50,3.33,0.0,0.04,0.0,0.0
51,14.6,0.0,0.0,0.32,0.19
52,8.95,0.0,0.13,0.0,0.0
54,63.36,0.0,0.19,1.78,0.92
53,6.39,0.0,0.0,0.0,0.0
55,9.53,0.0,0.1,0.02,0.0
56,5.08,0.0,0.0,0.44,0.0
57,4.7,0.0,0.0,0.0,0.0
58,7.21,0.0,0.0,0.0,0.0
59,59.17,0.0,0.28,0.61,0.0
60,96.21,0.0,4.87,6.59,0.24
61,60.47,0.0,0.27,0.34,0.2
62,62.99,0.0,0.0,0.62,0.0
63,13.1,0.0,0.0,0.2,0.0
64,27.68,0.0,0.0,0.09,0.0
65,10.19,0.0,0.0,0.02,0.0
66,10.14,0.0,0.0,0.14,0.0
67,39.37,0.0,0.14,0.47,0.0
68,6.63,0.0,0.0,0.07,0.0
69,8.52,0.0,0.0,0.0,0.0
70,25.78,0.0,0.0,0.78,0.0
71,139.29,0.0,0.05,2.59,0.42
72,6.77,0.0,0.01,0.06,0.0
73,8.38,0.0,0.09,0.04,0.0
74,4.65,0.0,0.0,0.0,0.0
75,6.72,0.0,0.0,0.0,0.0
76,11.83,0.0,0.28,0.29,0.0
77,43.88,0.0,0.0,0.04,0.0
78,41.77,0.0,0.16,2.12,0.0
79,4.49,0.0,0.0,0.06,0.0
80,70.48,0.0,4.57,11.94,0.2
81,104.07,0.0,0.43,1.16,0.0
82,5.81,0.0,0.0,0.0,0.0
42,90.92,0.0,0.23,4.21,0.0
43,4.41,0.0,0.0,0.0,0.0
44,7.85,0.0,0.02,0.0,0.0
45,7.98,0.0,0.0,0.03,0.0
46,9.95,0.0,0.0,0.71,0.27
47,8.97,0.0,0.27,0.87,0.0
48,15.85,0.0,0.0,0.06,0.0
49,138.18,0.0,6.37,9.7,1.16
50,3.33,0.0,0.04,0.0,0.0
51,14.6,0.0,0.0,0.32,0.19
52,8.95,0.0,0.13,0.0,0.0
54,63.36,0.0,0.19,1.78,0.92
53,6.39,0.0,0.0,0.0,0.0
55,9.53,0.0,0.1,0.02,0.0
56,5.08,0.0,0.0,0.44,0.0
57,4.7,0.0,0.0,0.0,0.0
58,7.21,0.0,0.0,0.0,0.0
59,59.17,0.0,0.28,0.61,0.0
60,96.21,0.0,4.87,6.59,0.24
61,60.47,0.0,0.27,0.34,0.2
62,62.99,0.0,0.0,0.62,0.0
63,13.1,0.0,0.0,0.2,0.0
64,27.68,0.0,0.0,0.09,0.0
65,10.19,0.0,0.0,0.02,0.0
66,10.14,0.0,0.0,0.14,0.0
67,39.37,0.0,0.14,0.47,0.0
68,6.63,0.0,0.0,0.07,0.0
69,8.52,0.0,0.0,0.0,0.0
70,25.78,0.0,0.0,0.78,0.0
71,139.29,0.0,0.05,2.59,0.42
72,6.77,0.0,0.01,0.06,0.0
73,8.38,0.0,0.09,0.04,0.0
74,4.65,0.0,0.0,0.0,0.0
75,6.72,0.0,0.0,0.0,0.0
76,11.83,0.0,0.28,0.29,0.0
77,43.88,0.0,0.0,0.04,0.0
78,41.77,0.0,0.16,2.12,0.0
79,4.49,0.0,0.0,0.06,0.0
80,70.48,0.0,4.57,11.94,0.2
81,104.07,0.0,0.43,1.16,0.0
82,5.81,0.0,0.0,0.0,0.0
83,6.77,0.0,0.0,0.09,1.33
84,32.5,0.0,1.41,1.47,8.86
85,13.76,0.0,0.0,0.13,0.94
86,4.27,0.0,0.0,0.0,0.0
87,3.86,0.0,0.0,0.01,0.26
88,111.87,0.0,0.82,3.54,3.9
BilaspurH,22.65,165.85,185.3,373.8,3.3
ChambaH,596.72,1221.92,637.51,2456.15,21.27
HamirpurH,42.41,101.95,217.17,361.53,12.4
KangraH,229.24,1301.44,869.52,2400.2,12.81
KinnaurH,84.24,325.72,238.11,648.07,61.34
KulluH,634.95,852.2,508.21,1995.36,25.02
Lahaul & SpitiH,11.95,34.03,100.03,146.01,16.69
MandiH,412.59,730.22,647.36,1790.17,18.67
ShimlaH,778.96,1150.66,514.97,2444.59,28.29
SirmaurH,238.4,646.7,530.78,1415.88,49.6
SolanH,45.84,439.72,423.19,908.75,46.55
UnaH,19.65,309.88,310.31,639.84,12.75
Anni,70.71,161.44,100.31,332.46,2.49
Banjar,83.5,89.51,30.26,203.27,1.4
Bharmour,102.46,117.84,142.44,362.74,5.04
Bilaspur,22.05,189.43,163.18,374.66,1.91
Chamba,372.98,281.15,133.43,787.56,0.87
Chamba WL,50.53,90.21,73.35,214.09,5.98
Chopal,129.16,238.72,61.58,429.46,5.14
