"OSrXXb","rllt__details","yi40Hd","RDApEe","rllt__details 2","rllt__details 3","rllt__details 4","rllt__details 5","uDyWh","yYlJEf href","BSaJxc","yYlJEf href 2","UbRuwe"
"ONGC Colony Phase 1, Hazira","· Oil & natural gas company","4.6","(58)","Gujarat","· 0261 287 5500","","Open 24 hours","""Nive residential colony of ongc employee""","http://www.ongcindia.com/","Website","https://www.google.com/maps/dir//4QR2%2BV42+ONGC+Colony+Phase+1,+Hazira,+Hazira+Rd,+Magdalla,+Gujarat+394518/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3be04d688993ba93:0x8227322067418613?sa=X&ved=1t:57443&ictx=111","Directions"
"Wellmax Oilfield Technologies","· Oil and gas exploration service","4.5","(2)","Navi Mumbai, Maharashtra","· 022 4005 7674","⋅ 7 pm","Closes soon","","http://wellmaxot.com/","Website","https://www.google.com/maps/dir//Wellmax+Oilfield+Technologies,+804,+Ellora+Fiesta,+Plot+No-8,+Sector-11+Sanpada+(Opp+Juinagar+Rly+station,+Navi+Mumbai,+Maharashtra+400705/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3be7c3ad42f9b623:0xa9a1ff97b53ea0ba?sa=X&ved=1t:57443&ictx=111","Directions"
"Innovative Environmental Technologies Pvt. Ltd. Pune","· Oil & natural gas company","4.1","(11)","Pune, Maharashtra","· 020 6725 7200","⋅ Opens 9 am Mon","Closed","","https://www.ietl.in/","Website","https://www.google.com/maps/dir//6th+Floor,+Innovative+Environmental+Technologies+Pvt.+Ltd.+Pune,+Galore+Tech+IT+Park,+LMD+Chowk,+Bavdhan,+Pune,+Maharashtra+411021/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3bc2bfeba88d342b:0x1b7d20697850cb8d?sa=X&ved=1t:57443&ictx=111","Directions"
"Bharat Tanks and Vessels LLP","· Oil field equipment supplier","4.9","(11)","Pune, Maharashtra","· 090110 10315","","Open 24 hours","","https://www.bharattanks.com/","Website","https://www.google.com/maps/dir//Bharat+Tanks+and+Vessels+LLP,+Maya+Nagari+Apartment,+B+-+21%2F22,+Dapodi,+Pune,+Maharashtra+411012/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3bc2b893d7c11555:0xa9a1e31a4d6f6fca?sa=X&ved=1t:57443&ictx=111","Directions"
"Xenon Lubricants","· Oil & natural gas company","4.7","(32)","Sayan, Gujarat","· 090163 07863","","Open 24 hours","","https://www.xenonlubricant.co.in/","Website","https://www.google.com/maps/dir//Xenon+Lubricants,+121,122+yogi+industry+chikuwadi,+dandipath,+delad,+Sayan,+Gujarat+394130/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3be04eef2fb59163:0x1c7b2336b6729dcf?sa=X&ved=1t:57443&ictx=111","Directions"
"Oil Field Instrumentation","· Oil field equipment supplier","4.1","(39)","Mumbai, Maharashtra","· 022 6147 5000","⋅ Opens 9 am Sat","Closed","","http://www.ofiindia.com/","Website","https://www.google.com/maps/dir//Oil+Field+Instrumentation,+A-211,+Kanara+Business+Centre,+Off,+Andheri+Ghatkopar+Link+Rd,+Ghatkopar+East,+Mumbai,+Maharashtra+400075/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3be7c634c633b087:0xfee9999021e4a907?sa=X&ved=1t:57443&ictx=111","Directions"
"Enpro Industries Pvt. Ltd. Manufacturing Facility","· Manufacturer","4.4","(58)","Markal, Maharashtra","· 020 6735 3100","⋅ Opens 8 am Sat","Closed",""" filter machine manufacturers...""","http://www.enproindustries.in/","Website","https://www.google.com/maps/dir//Enpro+Industries+Pvt.+Ltd.+Manufacturing+Facility,+Gat+no.+214%2F2+Alandi+Markal+Road,+Taluka+Khed,+Markal,+Maharashtra+412105/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3bc2c58be62045d3:0x9a6b4a193dc1c002?sa=X&ved=1t:57443&ictx=111","Directions"
"SLB Limited","· Oil and gas exploration service","4.6","(552)","Pune, Maharashtra","· 020 6741 7777","⋅ Opens 9:30 am Mon","Closed","""Well it is the best company to work with in Pune.""","http://www.slb.com/","Website","https://www.google.com/maps/dir//SLB+Limited,+8,+Office+301,+Commerzone+IT+Park,+Yerawada,+Pune,+Maharashtra+411006/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3bc2c0d9129e2c0d:0xa92e92b0bc909cf3?sa=X&ved=1t:57443&ictx=111","Directions"
"Dream Green Petro-chem Pvt.Ltd.","· Petrochemical engineering service","5.0","(9)","Nashik, Maharashtra","· 099236 35326","⋅ Opens 9 am Sat","Closed","","","","https://www.google.com/maps/dir//3QM4%2BCGM+Dream+Green+Petro-chem+Pvt.Ltd.,+Shinde+-+Naigaon+Rd,+Nashik,+Maharashtra+422102/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3bddbf1e83e90277:0x2538618a0f60cff7?sa=X&ved=1t:57443&ictx=111","Directions"
"Cargill India Pvt Ltd 1","· Oil refinery","3.9","(65)","Kurkumbh, Maharashtra","","⋅ Opens 9 am Sat","Closed","","","","https://www.google.com/maps/dir//CG4Q%2B4Q8+Cargill+India+Pvt+Ltd+1,+Kurkumbh,+Maharashtra/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3bc313ac916e8e91:0xe124e9acc83cd584?sa=X&ved=1t:57443&ictx=111","Directions"
