LGD_Code_x,DistrictName,StateName,Population,MORTH_City_Name,AvgAQI_2020,very_dense_forest,mod_dense_forest,open_forest,total_forest_cover,scrub,LGD_Code_y,DistrictVehicles_2020,VehiclesPerCapita,ForestPerCapita_sqkm
30,Fatehgarh Sahib,Punjab,600163.0,,,,,,,,30,0,0.0,
354,Ganjam,Odisha,3529031.0,,,,,,,,354,0,0.0,
144,Gautam Buddha Nagar,Uttar Pradesh,1648115.0,,,,,,,,144,0,0.0,
146,Ghazipur,Uttar Pradesh,3620268.0,,,,,,,,146,0,0.0,
330,Godda,Jharkhand,1313551.0,,,13.52,275.09,141.87,430.48,13.56,330,0,0.0,0.0003277223343440795
330,Godda,Jharkhand,1313551.0,,,12.16,262.91,132.79,407.86,13.39,330,0,0.0,0.0003105018381471294
62,Gurugram,Haryana,,,166.9808743169399,0.0,31.85,81.26,113.11,20.42,62,0,,
661,Hapur,Uttar Pradesh,,,128.09470752089138,,,,,,661,0,,
163,Hathras,Uttar Pradesh,,,,,,,,,163,0,,
540,Haveri,Karnataka,1597668.0,,,0.0,145.88,212.7,358.58,94.84,540,0,0.0,0.0002244396207472391
540,Haveri,Karnataka,1597668.0,,,0.0,70.98,111.5,182.48,69.64,540,0,0.0,0.00011421647050576214
63,Hisar,Haryana,1743931.0,,162.14285714285714,0.0,10.75,47.79,58.54,6.28,63,0,0.0,3.356784184695381e-05
726,Hnahthial,Mizoram,,,,,,,,,726,0,,
507,Hyderabad,Telangana,,Hyderabad,77.99180327868852,,,,,,507,3242809,,
151,Jalaun,Uttar Pradesh,1689974.0,,,,,,,,151,0,0.0,
479,Jalna,Maharashtra,1959046.0,,,,,,,,479,0,0.0,
447,Jamnagar,Gujarat,2160119.0,,,0.0,51.62,257.35,308.97,88.57,447,0,0.0,0.0001430337865645365
380,Jashpur,Chhattisgarh,851669.0,,,228.47,1314.76,583.86,2127.09,20.38,380,0,0.0,0.002497554801219723
412,Jhabua,Madhya Pradesh,1025048.0,,,,,,,,412,0,0.0,
65,Jind,Haryana,1334152.0,,165.78484848484848,0.0,4.79,21.64,26.43,0.08,65,0,0.0,1.98103364534176e-05
713,Jiribam,Manipur,,,,,,,,,713,0,,
107,Jodhpur,Rajasthan,3687165.0,Jodhpur,137.6543909348442,,,,,,107,1267620,0.3437925886148301,
778,Jodhpur (Gramin),Rajasthan,,,,,,,,,778,0,,
290,Jorhat,Assam,1092256.0,,,13.36,110.27,474.9,598.53,11.75,290,26089,0.023885426127208273,0.0005479759323821522
449,Kachchh,Gujarat,2092371.0,,,0.04,278.38,2453.48,2731.9,958.59,449,0,0.0,0.001305647994547812
